 serve xizmat_qilish
 children bolalar
 Chinese Xitoylik
 communicate Muloqot_qilish
 country Mamlakat
 cousin amakivachcha
 daughter qiz
 designer Dizayner
 Emirate Amirlik
 family_name Oyila_ismi
 father dada
 fluent ravon
 French fransuz
 genetic genetik
 granddaughter nevarasi
 grandfather bobo
 grandmother buvi
 grandson nabirasi
 Grek grek
 Hungarian venger
 husband er
 introduce tanishtirish
 Italian Italyan
 Japanese yapon
 last_name familiya
 Lebanese Livan
 married uylangan
 Mexican meksikan
 mother ona
 nationality millati
 neighbor qoshni
 nephew jiyani
 niece jiyan
 Nigerian nigeriyalik
 Pakistani Pokiston
 polish polyak
 Portuguese portugal
 restaurant restarant
 Russian rus
 saxophone saksafon
 single yagona
 sister singil
 son ogil
 Spanish Ispan
 stepfather ogay_ota
 supermarket supermarket
 Turkish turk
 twin egizak
 typical tipik
 uncle amaki
 unemployed ishsiz
 Urdu urdu
 Vietnamese Vetnam
 wife xotin
 agree fikriga_qoshilmoq
 alone yolgiz
 ask sorang
 astronaut astronavt
 beach plyaj
 body_clock tana_soati
 break tanaffus
 breakfast nonushta
 canteen Oshxona
 cereal don
 class sinf
 dangerous xavfli
 dirty iflos
 discount chegirma
 expert mutaxassis
 eyesight korish
 feel_well yaxshi_his_qilish
 free ozod
 free_time bosh_vaqt
 fresh_air toza_havo
 go bormoq
 go_clubbing klubga_borish
 half_past yarim_otdi
 have_dinner kechki_ovqat
 have_lunch tushlik_qiling
 hungry och
 idea fikr
 journey sayohat
 lab laboratoriya
 listen tingla
 meeting uchrashish
 noisy shovqinli
 outside tashqarida
 pay tolash
 penguin pingvin
 perfect mukammal
 physical jismoniy
 plan reja
 professor professor
 public_transport jamoat_transporti
 quarter_past chorak_otgan
 quarter_to chorakgacha
 read oqimoq
 reply javob_bermoq
 rise kotarilish
 sandwich sendvich
 scientific ilmiy
 scientist olim
 seal muhr
 shop dokon
 shower dush
 sickness kasallik
 sleeping_bag qopkorpa
 soup shorva
 space bosh_joy
 spacesuit skafandr
 start boshlash
 stop Toxta
 student_card talaba_kartasi
 think oylash
 tired charchagan
 title sarlavha
 toast tushdi
 trainee stajyor
 volcano vulqon
 wait Kutmoq
 wake_up uygoning
 well yaxshi
 watch_a_film film_tomosha_qiling
 watch_TV TV_korish
 zoology zoologiya
 address manzil
 airline aviakompaniya
 author muallif
 answer javob
 baker nonvoy
 beginner boshlovchi
 builder quruvchi
 bus_driver aftobus_haydovchisi
 businessman biznesmen_(erkak)
 businesswoman biznesmen_(ayol)
 calm sokin
 chef oshpaz
 cleaner tozalovchi
 clever aqlli
 colleague hamkasb
 company kompaniya
 dancer raqqos
 dentist tish_shifokori
 driver havdovchi
 factory zavod
 fermer fermer
 fix tuzatish
 forest oÊ»rmon
 forget unutmoq
 hairdresser sartarosh
 important muhim
 inside ichida
 journalist jurnalist
 later keyinroq
 lonely yolgiz
 lockout blokirovka
 lucky omadli
 magazine jurnal
 manager menejer
 money pul
 MP3_player MP3_pleer
 musician musiqachi
 nurse hamshira
 office_worker ofis_xodimi
 painter rassom
 piano pianino
 pilot uchuvchi
 place_of_work ish_joyi
 police_officer militsiya_hodimi
 retired nafaqaga_chiqqan
 salary ish_haqi
 silent jim
 singer ashulachi
 student talaba
 ticket chipta
 tower minora
 uniform forma
 unusual gayrioddiy
 well-paid yaxshi_tolangan
 winner golib
 work_freelance mustaqil_ishlash
 work_long_hours uzoq_vaqt_ishlash
 writer yozuvchi
 Lazy dangasa
 Library kutubxona
 Light yoruglik
 Messy tartibsiz
 Mine meniki
 Museum muzey
 Next_to yonidagi
 Opal opal
 Organized tashkil_etilgan
 Palace saroy
 Passport pasport
 Post_office politsiya_idorasi
 Railway_station Temir_yol_stansiyasi
 Sink chokmoq
 Studio_flat studiya_kvartirasi
 Swimming_pool suzish_havzasi
 Terrible dahshatli
 Theatre teatr
 Tidy toza
 Tour sayohat
 Tourist turist
 Tourist_information_centre turistik_axborot_markazi
 Town shahar
 Ugly xunuk
 Underground yer_osti
 Visit tashrif_buyurmoq
 Washing_machine kir_yuvish_mashinasi
 A_bit ozgina
 Bobsleigh bobsley
 Classroom sinfxona
 Collect tolamoq
 Code kod
 Fashion_designer moda_dizayneri
 Founder asoschi
 Ice_skater konkida_uchish
 Interesting qiziqarli
 Label yorliq
 Modern_art zamonaviy_sanat
 Naughty shox
 Notice sezmoq
 Popular mashhur
 Prepare tayyorlamoq
 Product mahsulot
 Quite juda
 Receive olmoq
 Return qaytarish
 Shout hayqiriq
 Successful omadli
 Thank rahmat
 Very juda
 Want xohlamoq
 App ilova
 Athletics yengil_atletika
 Ban taqiqlamoq
 Basketball basketbol
 Drink ichmoq
 Eat yemoq
 Fit mos
 Football futbol
 Gadget gadjet
 Go_fishing baliq_ovlashga_bormoq
 Gym gimnastika_zali
 Hero qahramon
 Jog turtmoq
 Judo judon
 Lend qarz_bermoq
 Lift kotarmoq
 Lightning chaqmoq
 Local mahalliy
 Marathon marafon
 Mayor mer
 Opinion fikr
 Physical jismoniy
 Progress taraqqiyot
 Reduce qisqartirmoq
 BakerÊ¼s nonvoyxona
 Boring zerikarli
 ButcherÊ¼s qassoblar
 Careful ehtiyotkor
 Carefully ehtiyotkorlik_bilan
 Changing_room Kiyim_almashtirish_xonasi
 Clear aniq
 Clearly aniq
 Correct togri
 Correctly togri
 Dangerously xavfli
 Designer_shoes dizayner_poyabzali
 Disappointed hafsalasi_pir_boldi
 Gloves qolqop
 Good yaxshi
 Great buyuk
 Heavy ogir
 Hoodie qaytarma_qalpoqli_kiyim
 Jewellery taqinchoq
 NewsagentÊ¼s gazeta_dokonlari
 Online onlayn
 Poor kambagal
 Postcard pochta_varaqasi
 Quietly sekin
 Rainwater yomgir_suvi
 Reading_glasses oqish_kozoynaklari
 Receipt retsept
 Recommend tavsiya_etmoq
 Relax dam_olish
 Sales sotish
 Serious jiddiy
 Shopping_centre savdo_markazi
 Slowly sekin
 Socks paypoqlar
 Strong kuchli
 Trainers murabbiylar
 Trousers shim
 Value qiymat
 Vending_machine savdo_avtomati
 Virtual virtual
 Worth qiymat
 above yuqorida
 airport aeroport
 armchair kreslo
 bank bank
 bathroom hammom
 bed yotoq
 bedroom yotoqxona
 behind orqasida
 between orasida
 big katta
 booking from
 capital poytaxt
 carpet gilam
 cheap arzon
 chemist kimyogar
 cinema kino
 clean toza
 cooker pishirgich
 dining_room ovqatlanish_joyi
 dishwasher idish_yuvish_mashinasi
 expensive qimmat
 fantastic fantastik
 flut nay
 fridge muzlatgich
 furniture mebel
 garage garaj
 hairdresserÊ¼s sartaroshxona
 hospital kasalxona
 housemate uydosh
 in_front_of ...ning_oldida
 instructions korsatmalar
 kitchen oshxona
 launderette kir_yuvishxona
 Fashion moda
 Modern zamonaviy
 Athletic atletika
 Lose yoqotmoq
 Paper_clip qogoz_qisqichi
 Air_conditioned konditsionerli
 Amazing hayratlanarli
 Apartment xovli
 Art_gallery sanat_galereyasi
 Bike velosiped
 Countryside qishloq_joy
 Culture madaniyat
 Employee xodim
 Environment muhit
 Get_around aylanib_chiqmoq
 Group guruh
 Gues_house mehmonxona
 Guide yolboshchi
 Helmet dubulga
 Lie aldamoq
 Passenger yolovchi
 Platform platforma
 Queue navbat
 Railway temir_yol
 Rainforest yomgirli_ormon
 Rent ijara_haqi
 Ruins xaroba
 Seat_belt xavfsizlik_kamari
 Bake non_yopmoq
 Boil qaynash
 Bowl kosa
 Castle qasr
 Chop kesmoq
 Cube kub
 Delicious mazali
 Food_processor oziq-ovqat_protsessori
 Fry qovurmoq
 Frying_pan tova
 Ingredient tarkib
 Jam murabbo
 Lemonade limonad
 Main_course asosiy_kurs
 Mix aralashish
 Olive oliviya
 Pasta makaron
 Ready tayyor
 Roast qovurilgan
 Rooftop uyingizda
 Saucepan idish
 Starter boshlovchi
 Survey tadqiqot
 Sweetcorn shirin_bodroq
 Takeaway_food olib_ketiladigon_taom
 Unhealthy nosoglom
 View qaramoq_kormoq
 Wonderful ajablanmoq
 Yoghurt yogurt
 Accent talaffuz
 Blow esmoq
 Busy band
 Camp oromgoh
 Climate iqlim
 Cloudy bulutli
 Compass kompas
 Crazy jinni
 Deep chuqur
 Dessert desert
 Dry quruq
 East sharqiy
 Equipment jihozlash
 Foggy tumanli
 Freeze sovuq
 Hard_worker mehnatkash
 High yuqori
 Hot issiq
 Icy muzli
 Island orol
 Jungle chakalakzor
 Large ulkan
 Mild muloyim
 North shimol
 Oasis voha
 Sandy qumli
 Score hisob
 Shine nur_taratmoq
 Sleeper uxlab_yotgan
 Snowy qorli
 South janub
 Storm boron
 Sunny quyoshli
 Survive umr_kechirmoq
 Survival omon_qolish
 Tent chodir
 Thunder momaqaldiroq
 Traffic harakat
 Tropical tropik
 Warm iliq
 Waterfall sharshara
 West garb
 Wet nam
 Windy shamolli
 Annual yillik
 Awful yomon
 Award mukofot
 Bark vovullamoq
 Brilliant ajoyib
 Celebrate nishonlamoq
 Charity xayriya
 Coach murabbiy
 Common umumiylik
 Community jamoa
 Constantly doim
 Crucial hal_qiluvchi
 Elderly keksaygan
 Excellent alo
 Fail muvaffaqiyatsizlikka_uchramoq
 Focus diqqatini_qaratish
 Homeless uysiz
 Huge katta
 Improve yaxshilamoq
 Individual kishi
 Look_after gamxorlik_qilish
 Massive katta
 Maximum maksumum
 Member azo
 Organize tashkil_qilmoq
 Paint boyoq
 Player oyinchi
 Repair tuzatmoq
 Resident muayyan_yashamoq
 Soil tuproq
 Tax soliq
 Team jamoa
 Tiny kichkina
 Worried havotirlangan
 Listen_to_music musiqa_tinglamoq
 Make_things narsa_yasamoq
 Nobody hechkim
 Paintbrush moyqalam
 Parrot totiqush
 Play_video_games vidyooyinlar_oynamoq
 Accident baxtsiz_hodisa
 Actress aktrisa
 Adventure sayohat
 Article maqola
 Astronaut astanaut
 Carpenter duradgor
 Century 100_yillik
 Characters belgilar
 Die olmoq
 Document xujjat
 Dream orzu
 Foundation fundament
 Grow_up osmoq
 Leader yetakchi
 Real haqiqiy
 Scientist olim
 Storyteller hikoyachi
 Tale hikoya
 First birinchi
 Third uchinchi
 Fourth tortinchi
 Fifth beshinchi
 Sixth oltinchi
 Seventh yettinchi
 Eighth sakkizinchi
 Ninth toqqizinchi
 Tenth oninchi
 Eleventh on_birinchi
 Twelfth on_ikkinchi
 Twentieth yigirmanchi
 Twenty_first yigirma_birinchi
 Twenty_third yigirma_uchinchi
 Thirtieth ottizinchi
 Thirty_first ottiz_birinchi
 A_day_off dam_olish_kuni
 Ago ilgari
 Atmosphere atmosfera
 Comedian komediya
 Cost narx
 Difficult qiyin
 Ending tugatish
 Excuse uzur_kechirim
 Get_ill kasal_bolmoq
 Headache bosh_ogrigi
 Horror_film qorqinchli_film
 Illnes kasallik
 In_fact aslida
 Miss soginmoq
 Millionaire millioner
 Rainy yomgirli
 Realize tasavvur_qilish
 Retirement istefoga_chiqmoq
 Service xizmat_korsatish
 Subtropical subtropik
 Throw irgitmoq
 Waitress ofitsiant
 A_cup_of bir_finjon
 Apple_juice olmali_sharbat
 Biscuit pechenye
 Burger burger
 Buy_a_house uy_sotib_olmoq
 Chance imkoniyat
 Change_jobs kasbini_ozgartirmoq
 Chips chips
 Cofee kofe
 Croissant shohsimon_bulochka
 Cupcake keks
 Doughnut ponchik
 Filling hissiyot
 Finish_school maktabni_tugatmoq
 Flight parvoz
 Food ovqat
 Have_a_baby farzandli_bolmoq
 Hot_dog hot_dog
 International xalqaro
 Join qoshilmoq
 Learn_a_new_language yangi_til_organish
 Menu menyu
 Move_abroad chetga_kochmoq
 Next keyingi
 Orange_juice apelsinli_sharbat
 Organization tashkilot
 Sing kuylamoq
 Snack gazak
 This_evening bu_oqshom
 Would_like xohlamoq
 Record rekord_yozuv
 Research tadqiqot
 Ride minmoq
 Seat joy
 Shop_online onlayn_dokon
 Sign belgi
 Skill mahorat
 Social_media ijtimoiy_media
 Swim suzish
 Swimmer suzuvchi
 Take_photos rasmga_olmoq
 Thirsty chanqamoq
 Translator tarjimon
 Type tur_hil
 Uruguay urugvay
 Volunteer kongilli
 Video vidyo
 Watch_sport sport_tomosha_qilmoq
 Work_in_the_garden bogda_ishlamoq
 Write yozmoq
 A_bottle_of bir_shisha
 Advert dalil_keltirmoq
 Algeria Jazoir
 Animal hayvon
 Badly yomon
 Bored zerikgan
 Computer_skills kompyuter_bilmi
 Contact aloqa
 Dance raqs
 Dolphin delfin
 Each_other bir_biri
 Electric_piano elektron_pianino
 Enthusiastic zavqli
 Fast tez
 Foreign_language boshqa_til
 Go_on_Facebook Facebookga_kirmoq
 Go_out_with_friends dostlar_bilan_kochaga_chiqish
 Go_to_the_cinema kinoga_bormoq
 Go_to_the_theatre teatrga_bormoq
 Goldfish tillabaliq
 Gorilla gorilla
 Hobby yoqtirgan_mashgulot
 Interest qiziqmoq
 Interested_in qiziqish
 Lebanon Livan
 Internet internet
 Ironing board
 Link aloqa
 Living room
 Lucky omadli
 Minut daqiqa
 Mini_bar mini_bar
 Noisy shovqinli
 Own hususiy
 Password parol
 Pizza pitsa
 Quiet sokin_tinch
 Reception qabul
 Refreshments mustahkamlash
 Staff hodim
 Supermarket supermarket
 Theme mavzu
 Visitor mehmon
 Website veb-sayt
 Wi_fi wi-fi
 Access foydalanish_huquqi
 Air_conditioning havo_sovutish
 All hamma
 Another boshqa
 Arrive yetib_kelmoq
 Bakery nonvoyxona
 Bath vanna
 Broken singan
 Check_in royxatdan_otmoq
 Checkout royxatdan_ochirilish
 Clean toza
 Cupboard javon
 Dining_room oshxona
 Each har_bir
 Facility qulaylik
 Festival festival
 Fishing baliq_ovlash
 For_hours soatlab
 Free_parking bepul_avtoturargoh
 Have_a_reservation bron_qilish
 Heater isitgich
 Instructions korsatmalar
 Public omma
 Shawl romol
 Skin teri
 Smart aqlli
 Sports sport
 Stadium stadion
 Style uslub
 Swimming pool
 Top eng_yuqori
 Traditional ananaviy
 Unusual ajoyib_noyob
 Useful foydali
 Wear kiymoq
 Wood yogoch
 Feature xususiyat
 First_floor birinchi_qavat
 Good_quality yaxshi_sifat
 Important muhum
 In_the_week haftada
 Indian hind
 Information axborot
 Jumper jemper
 Late kech
 Leather charm
 Location Joylashuv
 Long uzun
 Make_arrangements tartibga_solish
 Midday peshin
 Opening times
 Outside tashqarida
 A_piece_of bir_parcha
 Adult katta_yoshli
 Arm qol
 Announcement elon
 Architecture arxitektura
 Bare_feet yalang_oyoq
 Basic oddiy_sodda
 Bolivia Boliviya
 Bowler_hat erkaklar_shlyapasi
 Casual tasodifiy
 Colorful rangli
 Comment izoh
 Designer dizayner
 Europe Yevropa
 Every_day har_kuni
 Example misol_namuna
 Exciting hayajonli
 Famous mashhur
 Have_a_shower dush_qabul_qilmoq
 Have_breakfast tushlik_qilmoq
 Have_dinner kechki_ovqat
 In_my_free_time bosh_vaqtimda
 Journey sayohat
 Kenya Kenya
 Motorbike mototsikl
 Named nomlangan
 Over_there ana_u_yerda
 Pence pens
 Public_transport ommaviy_transport
 Shame uyat
 Similar bir_xil
 South_Africa Janubiy_Afrika
 South_Korea Janubiy_Koreya
 Start_work ishlashni_boshlamoq
 Switzerland Shveytsariya
 Teach orgatmoq
 Tennis tennis
 Text messages
 Together birga
 Vietnam Vyetnam
 Writer yozuvch
 A_lot kop
 At_the_weekend hafta_oxirida
 Baseball beysbol
 Bookshop kitob_dokoni
 Card_games karta_oyinlari
 Cent sent
 Check nazorat
 Comics komikslar
 Customer xaridor
 Cycle davra
 Denmark Daniya
 Department_store dokon
 Dollar dollar
 Drive haydamoq
 Early barvaqt
 Bank_account bank_xisobi
 Beautiful chiroyli
 Best_friend eng_yaxshi_dost
 Big katta
 But ammo
 Centre markaz
 Cheap arzon
 Conference konferensiya
 Expensive qimmat
 For_me men_uchun
 Friendly dostona
 Funny quvnoq
 Happy hursand
 Hard qattiq
 Electronics_shop elektron_dokon
 Euro yevro
 Favorite yoqtirgan
 Ferry olib_otmoq
 Finish_work ishni_tugatmoq
 Get_dressed kiyinmoq
 Get_home uyga_qaytmoq
 Get_up turmoq
 Go_out tashqariga_chiqmoq
 Go_to_bed uxlamoq
 Go_to_work ishga_bormoq
 Guitar gitara
 Have_a_bath hammom_qilmoq
 Lovely yoqimli
 Men erkaklar
 Message xabar
 Mobile_phone telefon
 New yangi
 New_Zealand yangi_Zealandiya
 Painting rassomlik
 Person kishi
 Pet erkalamoq
 Possession egalik
 Project loyiha
 Rich boy
 Women ayollar
 Young yosh
 Again yana
 Circle aylana
 Compare qiyoslamoq
 Complete toliq
 Conversation muloqot
 Gap boshloq
 Look_at ga_qaramoq
 Match mos_kelmoq
 Noun ot
 Order buyurtma
 Partner sherik
 Practice amaliyot
 Prompt tez
 Recognize tanimoq
 Rapid tez
 Respond javob_bermoq
 Statement bayonot
 Stress stress
 Swap almashtirmoq
 Alphabet alifbo
 And va
 Business biznes
 Country Mamlakat
 Fine yaxshi
 Good_morning xayrli_tong
 Goodbye xayr
 Introduce tanishtirmoq
 Number raqam
 Right togri
 Phone_number telefon_raqam
 Spell talaffuz_qilmoq
 Thanks minnatdorchilik
 Too ham
 Australia Avstraliya
 Brazil Braziliya
 China Xitoy
 Indonesia Indoneziya
 Japan Yaponiya
 Russia Rossiya
 Spain Ispaniya
 Turkey Turkiya
 The_UK Buyuk_Britaniya
 The_USA AQSh
 Argentina Argentina
 Chef bosh_oshpaz
 Class sinf
 Email elektron_pochta
 English ingliz
 Italy Italiya
 Mexico Meksika
 Nice chiroyli
 Notepad blaknot
 Object buyum
 Oclock soat
 Photo rasm
 Road yol
 Romania Ruminiya
 Tablet tabletka
 Taxi_driver taksi_haydovchisi
 Teacher oqituvchi
 Thailand Tailand
 Umbrella soyabon
 Waiter ofitsiant
 Week hafta
